"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","WEIGHTED_INDEX","ENROLLMENT","ABSENT_COUNT","GRAD_COUNT","COHORT_COUNT","ELA_P_RATE","MATH_P_RATE","PUPIL_COUNT_TOT","FED_STATE_LOCAL_EXP","NUM_TEACH","NUM_TEACH_INEXP","NUM_TEACH_OC","NUM_OUT_CERT","OVERALL_STATUS"
"800000051529","190301040003","CAIRO-DURHAM HIGH SCHOOL","143.1","339","145","65","80","98.6","87.5","332","10234225",50,6,"55","1","Local Support and Improvement"
"800000051513","190401060003","CATSKILL SENIOR HIGH SCHOOL","156.4","383","108","95","111","100","82.4","372","12883084",41,2,"40","0","Local Support and Improvement"
"800000051491","190501040001","COXSACKIE-ATHENS HIGH SCHOOL","117.7","376","176","88","95","100","80.5","374","6214569",51,12,"53","13","Local Support and Improvement"
"800000051468","190701040004","GREENVILLE HIGH SCHOOL","153.2","346","115","87","98","98.8","82.7","347","12612084",47,5,"46","4","Local Support and Improvement"
"800000051378","210402060001","FRANKFORT-SCHUYLER CENTRAL HS","158.8","265","74","49","54","100","94.9","263","6727211",27,1,"26","2","Local Support and Improvement"
"800000075839","210402861058","UTICA ACADEMY OF SCIENCE CS","93.6","261","103","55","57","100","95.1","954","10989872",49,24,"55","24","Local Support and Improvement"
"800000051337","210601060005","HERKIMER HIGH SCHOOL","154.9","312","100","65","80","97.2","95.7","543","13872808",52,14,"51","3","Targeted Support and Improvement"
"800000051322","210800050005","LITTLE FALLS HIGH SCHOOL","115.6","355","99","67","78","100","68.2","344","11770463",35,6,"34","1","Local Support and Improvement"
"800000051286","212001040003","MT MARKHAM SENIOR HIGH SCHOOL","154.3","309","93","68","69","100","100","307","10191512",32,4,"31","5","Local Support and Improvement"
"800000051386","212101040005","CENTRAL VALLEY ACADEMY","126.1","627","179","138","162","100","84.7","616","15083373",50,4,"50","1","Local Support and Improvement"
"800000051256","220101040002","SOUTH JEFFERSON HIGH SCHOOL","143.7","605","140","106","118","100","73.2","589","11284251",46,1,"44","3","Local Support and Improvement"
"800000051243","220301060007","INDIAN RIVER HIGH SCHOOL","136.4","847","275","171","178","97.2","83.3","795","22222859",78,11,"76","3","Local Support and Improvement"
"800000051213","220401040004","GENERAL BROWN JUNIOR-SENIOR HS","126.3","454","95","91","102","99","73.5","654","10461044",44,8,"44","5","Local Support and Improvement"
"800000051148","222000010016","WATERTOWN SENIOR HIGH SCHOOL","118.2","1184","506","211","279","99.2","80.5","1139","21577196",91,24,"86","17","Local Support and Improvement"
"800000051120","222201060001","CARTHAGE SENIOR HIGH SCHOOL","141.1","873","222","172","196","95.7","81.6","844","19474958",76,7,"68","9","Local Support and Improvement"
"800000051085","230901040002","LOWVILLE HIGH SCHOOL","184","374","47","90","95","100","98.8","370","8030683",38,6,"38","1","Local Support and Improvement"
"800000051046","231101040007","SOUTH LEWIS HIGH SCHOOL","137.1","291","64","61","73","100","83.6","287","7922362",39,3,"39","0","Local Support and Improvement"
"800000051031","231301040002","BEAVER RIVER HIGH SCHOOL","164.2","259","41","65","67","98.5","81.8","257","6671105",29,6,"28","0","Local Support and Improvement"
"800000055767","240101040002","AVON HIGH SCHOOL","152","313","40","75","81","100","97.3","314","8603867",40,7,"40","0","Local Support and Improvement"
